Rk,Name,Nation,Pos,Team,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK,xG/90,xAG/90,xG+xAG,npxG/90,G-npxG+xAG/90,TotCmp,TotAttempt,TotCmp%,TotDist,PrgDist,Cmp.Short,Attempt.Short,Cmp%.Short,Cmp.Medium,Attempt.Medium,Cmp%.Medium,Cmp.Long,Attempt.Long,Cmp%.Long,xA,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA/90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.GCA,PassDead.GCA,TO.GCA,Sh.GCA,Fld.GCA,Def.GCA,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.CHLG,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Gls-xG
1,Brenden Aaronson,USA,MFFW,Leeds United,Premier League,22,2000,24,21,1785,19.8,1,2,3,1,0,0,2,0,2.7,2.7,3.2,5.9,30.0,66.0,110.0,0.05,0.1,0.15,0.05,0.15,0.14,0.16,0.3,0.14,0.3,452.0,607.0,74.5,5669.0,1641.0,265.0,325.0,81.5,115.0,149.0,77.2,16.0,46.0,34.8,1.7,-1.2,33.0,36.0,12.0,2.0,68.0,3.43,44.0,10.0,5.0,3.0,5.0,1.0,5.0,0.25,3.0,0.0,0.0,1.0,0.0,1.0,5,15.6,1.61,0.25,0.03,0.2,18.7,2.0,0.09,-1.7,-1.7,32.0,11,10.0,17.0,5.0,11.0,36.7,19.0,30.0,28.0,1,33.0,6.0,1.0,868.0,9.0,53.0,868.0,27.0,35.1,36.0,46.8,531.0,8.0,54.0,63.0,598.0,-1
2,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,35,1987,26,26,2340,26.0,1,1,2,1,0,0,3,0,1.8,1.8,0.3,2.1,19.0,125.0,5.0,0.04,0.04,0.08,0.04,0.08,0.07,0.01,0.08,0.07,0.08,1088.0,1327.0,82.0,21456.0,9070.0,309.0,358.0,86.3,656.0,731.0,89.7,109.0,199.0,54.8,0.5,0.7,8.0,84.0,3.0,0.0,31.0,1.19,25.0,0.0,0.0,4.0,0.0,2.0,4.0,0.15,3.0,0.0,0.0,1.0,0.0,0.0,2,9.1,0.85,0.08,0.05,0.5,15.0,0.0,0.08,-0.8,-0.8,65.0,38,38.0,24.0,3.0,33.0,78.6,9.0,54.0,35.0,47,112.0,85.0,1.0,1644.0,160.0,25.0,1644.0,9.0,47.4,10.0,52.6,1094.0,2.0,18.0,16.0,983.0,0
3,Himad Abdelli,FRA,MFFW,Angers,Ligue 1,23,1999,18,12,1106,12.3,0,0,0,0,0,0,1,0,0.9,0.9,1.3,2.2,28.0,71.0,68.0,0.0,0.0,0.0,0.0,0.0,0.07,0.11,0.18,0.07,0.18,489.0,606.0,80.7,8175.0,2034.0,231.0,273.0,84.6,188.0,223.0,84.3,52.0,74.0,70.3,1.2,-1.3,19.0,54.0,17.0,4.0,33.0,2.69,30.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,27.3,0.9,0.24,0.0,0.0,19.7,0.0,0.08,-0.9,-0.9,35.0,18,13.0,18.0,4.0,18.0,54.5,15.0,16.0,15.0,13,48.0,8.0,0.0,747.0,9.0,11.0,747.0,21.0,56.8,14.0,37.8,543.0,4.0,20.0,12.0,528.0,0
4,Salis Abdul Samed,GHA,MF,Lens,Ligue 1,22,2000,24,24,2156,24.0,1,0,1,1,0,0,4,0,0.8,0.8,1.0,1.9,29.0,137.0,35.0,0.04,0.0,0.04,0.04,0.04,0.03,0.04,0.08,0.03,0.08,1398.0,1530.0,91.4,21908.0,5328.0,700.0,751.0,93.2,582.0,616.0,94.5,69.0,92.0,75.0,1.8,-1.0,14.0,136.0,13.0,2.0,42.0,1.75,36.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,25.0,0.5,0.13,0.08,0.33,20.3,0.0,0.07,0.2,0.2,35.0,20,14.0,18.0,3.0,20.0,55.6,16.0,29.0,22.0,24,59.0,17.0,0.0,1715.0,47.0,15.0,1715.0,21.0,60.0,9.0,25.7,1378.0,3.0,33.0,27.0,1327.0,1
5,Laurent Abergel,FRA,MF,Lorient,Ligue 1,30,1993,18,17,1371,15.2,0,1,1,0,0,0,3,0,0.3,0.3,1.0,1.3,9.0,83.0,11.0,0.0,0.07,0.07,0.0,0.07,0.02,0.06,0.08,0.02,0.08,638.0,736.0,86.7,10503.0,3856.0,299.0,325.0,92.0,269.0,302.0,89.1,46.0,72.0,63.9,0.8,0.0,9.0,63.0,7.0,0.0,21.0,1.38,16.0,2.0,1.0,1.0,0.0,1.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.39,0.0,0.0,,22.8,0.0,0.05,-0.3,-0.3,65.0,38,41.0,22.0,2.0,24.0,45.3,29.0,22.0,18.0,17,82.0,21.0,0.0,912.0,45.0,4.0,912.0,12.0,60.0,7.0,35.0,646.0,0.0,17.0,12.0,610.0,-1
6,Oliver Abildgaard,DEN,MFDF,Hellas Verona,Serie A,26,1996,4,0,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,11.0,22.0,50.0,129.0,76.0,7.0,10.0,70.0,3.0,8.0,37.5,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,,,,0.0,,0.0,0.0,2.0,2,1.0,0.0,1.0,1.0,25.0,3.0,2.0,2.0,1,3.0,3.0,0.0,34.0,2.0,2.0,34.0,0.0,,0.0,,10.0,0.0,2.0,0.0,14.0,0
7,Matthis Abline,FRA,FW,Auxerre,Ligue 1,19,2003,9,6,514,5.7,2,1,3,1,1,2,0,0,2.7,1.1,0.5,1.6,9.0,8.0,27.0,0.35,0.18,0.53,0.18,0.35,0.46,0.08,0.55,0.19,0.27,47.0,71.0,66.2,767.0,182.0,22.0,32.0,68.8,20.0,25.0,80.0,3.0,7.0,42.9,0.2,0.5,3.0,4.0,3.0,1.0,12.0,2.1,7.0,0.0,4.0,0.0,1.0,0.0,3.0,0.53,1.0,0.0,1.0,0.0,1.0,0.0,4,30.8,2.28,0.7,0.08,0.25,23.1,0.0,0.08,-0.7,-0.1,3.0,1,0.0,2.0,1.0,0.0,0.0,5.0,5.0,4.0,1,4.0,1.0,0.0,141.0,2.0,24.0,139.0,9.0,47.4,10.0,52.6,89.0,6.0,30.0,10.0,101.0,1
8,Matthis Abline,FRA,FWMF,Rennes,Ligue 1,19,2003,11,0,107,1.2,1,0,1,1,0,0,0,0,0.8,0.8,0.3,1.0,4.0,2.0,11.0,0.84,0.0,0.84,0.84,0.84,0.65,0.22,0.87,0.65,0.87,7.0,15.0,46.7,129.0,30.0,3.0,6.0,50.0,3.0,4.0,75.0,1.0,1.0,100.0,0.2,-0.3,2.0,1.0,1.0,0.0,7.0,5.94,2.0,0.0,0.0,3.0,1.0,1.0,2.0,1.7,0.0,0.0,0.0,0.0,1.0,1.0,2,33.3,5.05,1.68,0.17,0.5,12.2,0.0,0.13,0.2,0.2,1.0,1,0.0,0.0,1.0,1.0,100.0,0.0,1.0,1.0,2,3.0,1.0,0.0,37.0,1.0,15.0,37.0,0.0,,0.0,,27.0,2.0,10.0,1.0,27.0,1
9,Abner,BRA,DF,Betis,La Liga,22,2000,7,5,366,4.1,0,0,0,0,0,0,2,0,1.0,1.0,0.2,1.2,4.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.25,0.05,0.3,0.25,0.3,156.0,212.0,73.6,2366.0,1019.0,85.0,97.0,87.6,54.0,76.0,71.1,9.0,21.0,42.9,0.5,-0.2,1.0,10.0,2.0,1.0,5.0,1.23,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,1,33.3,0.74,0.25,0.0,0.0,9.6,0.0,0.34,-1.0,-1.0,11.0,8,9.0,2.0,0.0,7.0,63.6,4.0,5.0,3.0,6,17.0,15.0,0.0,261.0,18.0,8.0,261.0,1.0,16.7,5.0,83.3,118.0,3.0,5.0,3.0,137.0,0
10,Zakaria Aboukhlal,MAR,FWMF,Toulouse,Ligue 1,23,2000,26,21,1831,20.3,6,5,11,6,0,0,3,0,7.0,7.0,2.4,9.3,67.0,45.0,192.0,0.29,0.25,0.54,0.29,0.54,0.34,0.12,0.46,0.34,0.46,372.0,526.0,70.7,4590.0,1118.0,254.0,313.0,81.2,88.0,124.0,71.0,6.0,20.0,30.0,2.1,2.6,15.0,16.0,13.0,1.0,51.0,2.51,31.0,0.0,5.0,6.0,8.0,1.0,5.0,0.25,3.0,0.0,1.0,0.0,1.0,0.0,19,33.3,2.8,0.93,0.11,0.32,17.8,0.0,0.12,-1.0,-1.0,23.0,16,9.0,6.0,8.0,7.0,22.6,24.0,13.0,12.0,16,39.0,16.0,0.0,792.0,23.0,102.0,792.0,27.0,37.5,39.0,54.2,584.0,26.0,52.0,26.0,568.0,1
