Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,eng Premier League,22-138,2000,19.8,68,3.43,44,10,5,3,5,1,5,0.25,3,0,0,1,0,1,Matches,5bc43860
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35-162,1987,26.0,31,1.19,25,0,0,4,0,2,4,0.15,3,0,0,1,0,0,Matches,32c2d95f
3,Himad Abdelli,fr FRA,MFFW,Angers,fr Ligue 1,23-112,1999,12.3,33,2.69,30,0,1,1,0,1,0,0.00,0,0,0,0,0,0,Matches,7978cbf0
4,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22-348,2000,24.0,42,1.75,36,0,2,2,1,1,0,0.00,0,0,0,0,0,0,Matches,82464ce3
5,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30-036,1993,15.2,21,1.38,16,2,1,1,0,1,1,0.07,1,0,0,0,0,0,Matches,31626657
6,Oliver Abildgaard,dk DEN,MFDF,Hellas Verona,it Serie A,26-272,1996,0.9,1,1.15,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,8f5cdf66
7,Matthis Abline,fr FRA,FW,Auxerre,fr Ligue 1,19-346,2003,5.7,12,2.10,7,0,4,0,1,0,3,0.53,1,0,1,0,1,0,Matches,0e46fa2f
8,Matthis Abline,fr FRA,FWMF,Rennes,fr Ligue 1,19-346,2003,1.2,7,5.94,2,0,0,3,1,1,2,1.70,0,0,0,0,1,1,Matches,0e46fa2f
9,Abner,br BRA,DF,Betis,es La Liga,22-286,2000,4.1,5,1.23,3,1,1,0,0,0,1,0.25,1,0,0,0,0,0,Matches,7f9c5d2d
10,Zakaria Aboukhlal,ma MAR,FWMF,Toulouse,fr Ligue 1,23-019,2000,20.3,51,2.51,31,0,5,6,8,1,5,0.25,3,0,1,0,1,0,Matches,c2a6033c
11,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25-158,1997,18.3,55,3.01,35,0,4,10,6,0,9,0.49,4,0,1,3,1,0,Matches,f586779e
12,Christian Acella,it ITA,MF,Cremonese,it Serie A,20-245,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,771a2cfe
13,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35-027,1988,15.8,18,1.14,16,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,b96b595c
14,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19-226,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,be6faae0
15,Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,21-052,2002,0.4,1,2.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,1e93fc5d
16,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,31-132,1991,13.4,38,2.80,28,7,0,3,0,0,3,0.22,3,0,0,0,0,0,Matches,81442ecb
