Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,eng Premier League,22-137,2000,19.8,452,607,74.5,5669,1641,265,325,81.5,115,149,77.2,16,46,34.8,2,3.2,1.7,-1.2,33,36,12,2,66,Matches,5bc43860
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35-161,1987,26.0,1088,1327,82.0,21456,9070,309,358,86.3,656,731,89.7,109,199,54.8,1,0.3,0.5,+0.7,8,84,3,0,125,Matches,32c2d95f
3,Himad Abdelli,fr FRA,MFFW,Angers,fr Ligue 1,23-111,1999,12.3,489,606,80.7,8175,2034,231,273,84.6,188,223,84.3,52,74,70.3,0,1.3,1.2,-1.3,19,54,17,4,71,Matches,7978cbf0
4,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22-347,2000,24.0,1398,1530,91.4,21908,5328,700,751,93.2,582,616,94.5,69,92,75.0,0,1.0,1.8,-1.0,14,136,13,2,137,Matches,82464ce3
5,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30-035,1993,15.2,638,736,86.7,10503,3856,299,325,92.0,269,302,89.1,46,72,63.9,1,1.0,0.8,0.0,9,63,7,0,83,Matches,31626657
6,Oliver Abildgaard,dk DEN,MFDF,Hellas Verona,it Serie A,26-271,1996,0.9,11,22,50.0,129,76,7,10,70.0,3,8,37.5,0,1,0.0,0,0.0,0.0,0.0,1,1,0,0,1,Matches,8f5cdf66
7,Matthis Abline,fr FRA,FW,Auxerre,fr Ligue 1,19-345,2003,5.7,47,71,66.2,767,182,22,32,68.8,20,25,80.0,3,7,42.9,1,0.5,0.2,+0.5,3,4,3,1,8,Matches,0e46fa2f
8,Matthis Abline,fr FRA,FWMF,Rennes,fr Ligue 1,19-345,2003,1.2,7,15,46.7,129,30,3,6,50.0,3,4,75.0,1,1,100.0,0,0.3,0.2,-0.3,2,1,1,0,2,Matches,0e46fa2f
9,Abner,br BRA,DF,Betis,es La Liga,22-285,2000,4.1,156,212,73.6,2366,1019,85,97,87.6,54,76,71.1,9,21,42.9,0,0.2,0.5,-0.2,1,10,2,1,11,Matches,7f9c5d2d
10,Zakaria Aboukhlal,ma MAR,FWMF,Toulouse,fr Ligue 1,23-018,2000,20.3,372,526,70.7,4590,1118,254,313,81.2,88,124,71.0,6,20,30.0,5,2.4,2.1,+2.6,15,16,13,1,45,Matches,c2a6033c
11,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25-157,1997,18.3,253,369,68.6,3600,905,149,193,77.2,74,117,63.2,17,24,70.8,3,2.9,1.9,+0.1,26,12,11,1,40,Matches,f586779e
12,Christian Acella,it ITA,MF,Cremonese,it Serie A,20-244,2002,0.2,8,8,100.0,119,2,5,5,100.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,771a2cfe
13,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35-026,1988,15.8,850,969,87.7,15980,4939,305,337,90.5,438,481,91.1,90,122,73.8,1,0.6,0.7,+0.4,9,50,8,2,64,Matches,b96b595c
14,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19-225,2003,0.1,7,8,87.5,149,113,2,2,100.0,4,4,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,be6faae0
15,Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,21-051,2002,0.4,18,21,85.7,274,76,7,7,100.0,10,12,83.3,0,1,0.0,0,0.0,0.0,0.0,1,1,0,0,3,Matches,1e93fc5d
16,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,31-131,1991,13.4,644,866,74.4,12131,4486,294,325,90.5,255,329,77.5,87,176,49.4,1,2.3,3.3,-1.3,21,41,29,12,75,Matches,81442ecb
17,Che Adams,sct SCO,FW,Southampton,eng Premier League,26-238,1996,18.2,266,403,66.0,3747,896,169,227,74.4,56,88,63.6,23,33,69.7,3,2.7,2.1,+0.3,22,18,10,2,25,Matches,f2bf1b0f
18,Tyler Adams,us USA,MF,Leeds United,eng Premier League,24-022,1999,23.0,1056,1287,82.1,15829,4875,581,660,88.0,369,438,84.2,61,103,59.2,0,1.3,0.9,-1.3,23,103,12,0,128,Matches,2b09d998
19,Sargis Adamyan,am ARM,FWMF,Köln,de Bundesliga,29-289,1993,6.3,106,151,70.2,1733,426,53,64,82.8,41,55,74.5,9,14,64.3,2,0.7,1.1,+1.3,8,6,10,2,20,Matches,22919e97
20,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,25-165,1997,12.2,474,592,80.1,9865,3618,117,134,87.3,307,347,88.5,46,95,48.4,0,0.0,0.1,0.0,1,29,2,0,36,Matches,c81d773d
21,Martin Adeline,fr FRA,MFFW,Reims,fr Ligue 1,19-096,2003,1.2,29,41,70.7,390,93,12,18,66.7,11,14,78.6,1,3,33.3,0,0.0,0.0,0.0,0,2,0,0,3,Matches,7587446d
22,Karim Adeyemi,de GER,FWMF,Dortmund,de Bundesliga,21-049,2002,8.9,210,287,73.2,2631,763,129,158,81.6,56,71,78.9,6,15,40.0,2,2.0,1.7,0.0,13,12,11,0,27,Matches,501055d8
