Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,eng Premier League,22-138,2000,24,1785,74,79.3,19.8,21,81,8,3,25,1,0.92,24,37,-13,-0.66,-1.04,25.1,31.2,-6.1,-0.31,-0.49,Matches,5bc43860
2,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,19-195,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,4cd41883
3,James Abankwah,ie IRL,DF,Udinese,it Serie A,19-052,2004,0,,,,,0,,0,0,,23,,,,,,,,,,,,Matches,4b7a9fcc
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35-162,1987,26,2340,90,100.0,26.0,26,90,26,0,,0,1.54,34,26,+8,+0.31,,41.3,33.1,+8.3,+0.32,,Matches,32c2d95f
5,Himad Abdelli,fr FRA,MFFW,Angers,fr Ligue 1,23-112,1999,18,1106,61,47.3,12.3,12,81,7,6,23,6,0.11,10,26,-16,-1.30,+0.23,13.9,21.4,-7.5,-0.61,-0.23,Matches,7978cbf0
6,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22-348,2000,24,2156,90,92.1,24.0,24,90,22,0,,0,2.08,38,18,+20,+0.83,+1.32,43.0,26.0,+17.0,+0.71,+0.57,Matches,82464ce3
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30-036,1993,18,1371,76,58.6,15.2,17,79,10,1,26,0,2.00,24,21,+3,+0.20,+0.29,19.9,25.0,-5.0,-0.33,+0.12,Matches,31626657
8,Oliver Abildgaard,dk DEN,MFDF,Hellas Verona,it Serie A,26-272,1996,4,78,20,3.5,0.9,0,,0,4,20,1,1.25,0,0,0,0.00,+0.70,0.7,1.7,-0.9,-1.04,-0.82,Matches,8f5cdf66
9,Terry Ablade,fi FIN,FW,Fulham,eng Premier League,21-148,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,d524dcd7
10,Matthis Abline,fr FRA,FW,Auxerre,fr Ligue 1,19-346,2003,9,514,57,22.0,5.7,6,75,1,3,21,0,1.00,7,8,-1,-0.18,+1.06,7.9,6.3,+1.6,+0.29,+0.84,Matches,0e46fa2f
11,Matthis Abline,fr FRA,FWMF,Rennes,fr Ligue 1,19-346,2003,11,107,10,4.6,1.2,0,,0,11,10,4,2.27,5,0,+5,+4.21,+3.76,2.9,1.3,+1.6,+1.36,+1.09,Matches,0e46fa2f
12,Abner,br BRA,DF,Betis,es La Liga,22-286,2000,7,366,52,16.9,4.1,5,70,2,2,8,1,1.43,7,8,-1,-0.25,-0.65,8.1,8.0,+0.1,+0.01,-0.27,Matches,7f9c5d2d
13,Zakaria Aboukhlal,ma MAR,FWMF,Toulouse,fr Ligue 1,23-019,2000,26,1831,70,78.2,20.3,21,81,10,5,25,0,1.23,29,38,-9,-0.44,-1.15,27.1,31.4,-4.3,-0.21,-0.28,Matches,c2a6033c
14,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25-158,1997,25,1643,66,73.0,18.3,19,77,6,6,30,0,1.88,25,15,+10,+0.55,+0.40,29.7,14.0,+15.7,+0.86,+0.12,Matches,f586779e
15,Christian Acella,it ITA,MF,Cremonese,it Serie A,20-245,2002,1,15,15,0.7,0.2,0,,0,1,15,14,0.00,0,1,-1,-6.00,-5.03,0.0,0.1,-0.1,-0.66,+0.08,Matches,771a2cfe
16,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35-027,1988,18,1425,79,63.3,15.8,15,89,14,3,29,3,2.11,29,16,+13,+0.82,+0.28,25.3,14.0,+11.3,+0.71,-0.20,Matches,b96b595c
17,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19-226,2003,1,13,13,0.6,0.1,0,,0,1,13,11,0.00,0,0,0,0.00,+0.67,0.3,0.2,+0.1,+0.79,+1.46,Matches,be6faae0
18,Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,21-052,2002,2,36,18,1.5,0.4,0,,0,2,18,6,0.50,1,0,+1,+2.50,+2.81,0.8,0.0,+0.7,+1.87,+2.08,Matches,1e93fc5d
19,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,31-132,1991,19,1210,64,56.0,13.4,14,76,8,5,29,0,1.16,16,25,-9,-0.67,-0.39,16.9,22.3,-5.4,-0.40,+0.08,Matches,81442ecb
20,Marius Adamonis,lt LTU,GK,Lazio,it Serie A,25-300,1997,0,,,,,0,,0,0,,25,,,,,,,,,,,,Matches,1226f0de
21,Che Adams,sct SCO,FW,Southampton,eng Premier League,26-239,1996,22,1639,75,72.8,18.2,19,83,12,3,22,1,0.82,15,31,-16,-0.88,-0.14,19.5,25.3,-5.8,-0.32,+0.20,Matches,f2bf1b0f
22,Tyler Adams,us USA,MF,Leeds United,eng Premier League,24-023,1999,23,2066,90,91.8,23.0,23,90,22,0,,0,0.96,26,34,-8,-0.35,+1.12,29.2,30.5,-1.3,-0.06,+1.86,Matches,2b09d998
23,Sargis Adamyan,am ARM,FWMF,Köln,de Bundesliga,29-290,1993,20,563,28,27.2,6.3,3,63,0,17,22,3,1.15,10,12,-2,-0.32,-0.20,10.2,9.9,+0.3,+0.04,-0.11,Matches,22919e97
24,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,25-166,1997,14,1095,78,46.8,12.2,12,90,12,2,8,12,1.64,20,22,-2,-0.16,-0.60,14.0,24.2,-10.3,-0.85,-0.87,Matches,c81d773d
25,Martin Adeline,fr FRA,MFFW,Reims,fr Ligue 1,19-097,2003,5,107,21,4.6,1.2,0,,0,5,21,10,1.40,3,5,-2,-1.68,-2.09,2.1,2.7,-0.7,-0.57,-0.93,Matches,7587446d
26,Karim Adeyemi,de GER,FWMF,Dortmund,de Bundesliga,21-050,2002,16,799,50,38.6,8.9,12,58,0,4,27,0,2.13,22,10,+12,+1.35,+0.86,15.2,10.8,+4.3,+0.49,+0.05,Matches,501055d8
27,Amine Adli,fr FRA,FW,Leverkusen,de Bundesliga,22-303,2000,15,753,50,36.4,8.4,7,77,1,8,27,1,1.67,14,10,+4,+0.48,+0.55,14.0,7.5,+6.6,+0.78,+0.77,Matches,dcfb17f4
28,Yacine Adli,fr FRA,MFFW,Milan,it Serie A,22-223,2000,5,124,25,5.5,1.4,1,59,0,4,16,20,1.40,2,2,0,0.00,-0.42,2.1,1.9,+0.2,+0.15,-0.28,Matches,26777636
29,Adrián,es ESP,GK,Liverpool,eng Premier League,36-065,1987,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches,f76e6b4e
30,Daniel Adu-Adjei,eng ENG,FW,Bournemouth,eng Premier League,17-261,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,2093823e
31,Michel Aebischer,ch SUI,FWMF,Bologna,it Serie A,26-062,1997,21,868,41,38.6,9.6,9,74,3,12,17,4,1.57,12,13,-1,-0.10,+0.03,10.4,12.4,-2.1,-0.21,-0.01,Matches,f9c927de
32,Felix Afena-Gyan,gh GHA,FWMF,Cremonese,it Serie A,20-049,2003,16,604,38,26.8,6.7,5,65,1,11,26,5,0.63,6,11,-5,-0.75,+0.35,6.3,9.8,-3.5,-0.52,+0.31,Matches,0154d290
33,Felix Afena-Gyan,gh GHA,FW,Roma,it Serie A,20-049,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,0154d290
34,Loïc Affamah,fr FRA,FW,Nantes,fr Ligue 1,20-253,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,f1a29ddc
35,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25-265,1997,20,1689,84,72.2,18.8,19,88,17,1,24,0,1.40,26,20,+6,+0.32,+0.04,30.6,25.4,+5.3,+0.28,-0.13,Matches,75f1ed80
36,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,22-073,2000,3,225,75,10.4,2.5,2,90,2,1,45,17,0.33,1,1,0,0.00,-0.33,3.5,2.5,+1.0,+0.41,-0.05,Matches,a2c1a8d3
37,Lucien Agoume,fr FRA,MF,Inter,it Serie A,21-028,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,8bc8829a
38,Lucien Agoume,fr FRA,MF,Troyes,fr Ligue 1,21-028,2002,8,556,70,23.8,6.2,7,78,5,1,9,3,0.50,5,16,-11,-1.78,-1.28,5.8,11.3,-5.5,-0.89,-0.09,Matches,8bc8829a
39,Felix Agu,de GER,DFFW,Werder Bremen,de Bundesliga,23-163,1999,3,49,16,2.4,0.5,0,,0,3,16,9,1.33,1,2,-1,-1.84,-1.53,0.4,2.4,-2.0,-3.53,-3.25,Matches,cb6d81b3
40,Álvaro Aguado,es ESP,MF,Valladolid,es La Liga,26-312,1996,22,1209,55,56.0,13.4,12,79,8,10,27,2,1.23,12,21,-9,-0.67,-0.01,12.8,23.4,-10.6,-0.78,-0.28,Matches,014aa7bd
41,Kevin Agudelo,co COL,MFFW,Spezia,it Serie A,24-115,1998,24,1648,69,73.2,18.3,19,79,6,5,30,1,0.83,16,28,-12,-0.66,+0.54,18.8,29.8,-11.0,-0.60,-0.04,Matches,46fa7204
42,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,26-344,1996,9,785,87,34.9,8.7,8,89,7,1,76,2,1.00,10,12,-2,-0.23,+0.26,11.8,12.0,-0.2,-0.03,-0.13,Matches,288e1e13
43,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,29-317,1993,14,690,49,29.5,7.7,8,72,4,6,19,1,2.36,12,10,+2,+0.26,-0.67,12.9,10.0,+2.8,+0.37,-0.04,Matches,3dd738a1
44,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,eng Premier League,20-345,2002,4,43,11,1.9,0.5,0,,0,4,11,1,0.50,0,1,-1,-2.09,-1.69,0.4,0.6,-0.1,-0.23,+0.27,Matches,a6c58494
45,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,20-345,2002,17,1398,82,67.5,15.5,17,82,6,0,,0,0.94,17,26,-9,-0.58,-0.18,19.5,18.4,+1.1,+0.07,+0.39,Matches,a6c58494
46,Amar Ahmed,se SWE,FW,Troyes,fr Ligue 1,19-018,2004,1,20,20,0.9,0.2,0,,0,1,20,2,1.00,0,0,0,0.00,+0.81,0.1,0.6,-0.6,-2.50,-1.70,Matches,22396615
