Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,eng Premier League,22-138,2000,19.8,868,9,86,374,425,53,868,77,27,35.1,36,46.8,531,2783,1151,30,24,8,54,63,598,110,Matches,5bc43860
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35-162,1987,26.0,1644,160,771,810,78,25,1644,19,9,47.4,10,52.6,1094,6564,3580,19,15,2,18,16,983,5,Matches,32c2d95f
3,Himad Abdelli,fr FRA,MFFW,Angers,fr Ligue 1,23-112,1999,12.3,747,9,118,458,194,11,747,37,21,56.8,14,37.8,543,3347,1689,28,32,4,20,12,528,68,Matches,7978cbf0
4,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22-348,2000,24.0,1715,47,280,1165,283,15,1715,35,21,60.0,9,25.7,1378,7131,2634,29,44,3,33,27,1327,35,Matches,82464ce3
5,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30-036,1993,15.2,912,45,309,526,90,4,912,20,12,60.0,7,35.0,646,2591,1143,9,14,0,17,12,610,11,Matches,31626657
6,Oliver Abildgaard,dk DEN,MFDF,Hellas Verona,it Serie A,26-272,1996,0.9,34,2,14,12,8,2,34,0,0,,0,,10,30,6,0,0,0,2,0,14,3,Matches,8f5cdf66
7,Matthis Abline,fr FRA,FW,Auxerre,fr Ligue 1,19-346,2003,5.7,141,2,11,67,65,24,139,19,9,47.4,10,52.6,89,562,183,9,3,6,30,10,101,27,Matches,0e46fa2f
8,Matthis Abline,fr FRA,FWMF,Rennes,fr Ligue 1,19-346,2003,1.2,37,1,1,15,22,15,37,0,0,,0,,27,174,105,4,1,2,10,1,27,11,Matches,0e46fa2f
9,Abner,br BRA,DF,Betis,es La Liga,22-286,2000,4.1,261,18,84,114,66,8,261,6,1,16.7,5,83.3,118,458,254,4,3,3,5,3,137,16,Matches,7f9c5d2d
10,Zakaria Aboukhlal,ma MAR,FWMF,Toulouse,fr Ligue 1,23-019,2000,20.3,792,23,115,301,395,102,792,72,27,37.5,39,54.2,584,3787,1706,67,29,26,52,26,568,192,Matches,c2a6033c
11,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25-158,1997,18.3,578,14,40,297,250,89,578,53,14,26.4,30,56.6,309,1632,641,25,17,11,43,23,449,95,Matches,f586779e
12,Christian Acella,it ITA,MF,Cremonese,it Serie A,20-245,2002,0.2,11,0,1,9,1,0,11,0,0,,0,,4,7,2,0,0,0,1,0,8,0,Matches,771a2cfe
13,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35-027,1988,15.8,1108,116,480,567,68,10,1108,4,1,25.0,2,50.0,580,2834,1523,17,13,1,7,3,723,9,Matches,b96b595c
14,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19-226,2003,0.1,8,6,8,0,0,0,8,0,0,,0,,5,34,31,0,0,0,0,0,2,0,Matches,be6faae0
15,Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,21-052,2002,0.4,25,0,4,11,10,0,25,1,0,0.0,1,100.0,21,134,75,2,2,0,0,1,19,1,Matches,1e93fc5d
16,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,31-132,1991,13.4,1010,41,272,450,298,20,1010,30,10,33.3,16,53.3,562,2528,1331,28,18,4,21,15,612,63,Matches,81442ecb
17,Che Adams,sct SCO,FW,Southampton,eng Premier League,26-239,1996,18.2,588,23,53,235,311,84,588,25,11,44.0,11,44.0,329,1337,385,12,9,8,62,18,452,84,Matches,f2bf1b0f
18,Tyler Adams,us USA,MF,Leeds United,eng Premier League,24-023,1999,23.0,1563,41,356,975,243,5,1563,20,5,25.0,12,60.0,782,3156,1466,17,22,1,27,17,876,20,Matches,2b09d998
19,Sargis Adamyan,am ARM,FWMF,Köln,de Bundesliga,29-290,1993,6.3,263,4,28,113,128,44,263,23,5,21.7,15,65.2,145,752,304,10,5,5,23,14,171,49,Matches,22919e97
20,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,25-166,1997,12.2,709,116,385,311,18,3,709,3,2,66.7,1,33.3,352,1911,1170,6,8,0,2,3,427,1,Matches,c81d773d
21,Martin Adeline,fr FRA,MFFW,Reims,fr Ligue 1,19-097,2003,1.2,59,4,22,22,16,1,59,3,1,33.3,2,66.7,31,173,83,1,0,0,4,2,27,1,Matches,7587446d
22,Karim Adeyemi,de GER,FWMF,Dortmund,de Bundesliga,21-050,2002,8.9,422,6,40,165,225,36,422,49,14,28.6,25,51.0,276,1832,719,21,20,10,34,16,295,79,Matches,501055d8
23,Amine Adli,fr FRA,FW,Leverkusen,de Bundesliga,22-303,2000,8.4,423,5,45,211,169,34,423,22,10,45.5,10,45.5,241,1341,676,24,11,6,37,12,319,74,Matches,dcfb17f4
24,Yacine Adli,fr FRA,MFFW,Milan,it Serie A,22-223,2000,1.4,83,1,11,42,33,1,83,1,1,100.0,0,0.0,49,300,148,5,4,0,2,3,62,7,Matches,26777636
25,Michel Aebischer,ch SUI,FWMF,Bologna,it Serie A,26-062,1997,9.6,460,9,83,228,151,19,460,5,1,20.0,4,80.0,269,1086,472,8,8,2,17,11,347,47,Matches,f9c927de
26,Felix Afena-Gyan,gh GHA,FWMF,Cremonese,it Serie A,20-049,2003,6.7,230,5,30,85,119,22,230,17,6,35.3,9,52.9,143,899,319,18,9,2,23,15,166,46,Matches,0154d290
27,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25-265,1997,18.8,1169,156,611,520,49,15,1169,8,5,62.5,3,37.5,811,4893,2446,11,13,2,16,9,696,5,Matches,75f1ed80
