Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,eng Premier League,22-138,2000,19.8,1,32,5,15.6,1.61,0.25,0.03,0.20,18.7,2,0,0,2.7,2.7,0.09,-1.7,-1.7,Matches,5bc43860
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35-162,1987,26.0,1,22,2,9.1,0.85,0.08,0.05,0.50,15.0,0,0,0,1.8,1.8,0.08,-0.8,-0.8,Matches,32c2d95f
3,Himad Abdelli,fr FRA,MFFW,Angers,fr Ligue 1,23-112,1999,12.3,0,11,3,27.3,0.90,0.24,0.00,0.00,19.7,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches,7978cbf0
4,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22-348,2000,24.0,1,12,3,25.0,0.50,0.13,0.08,0.33,20.3,0,0,0,0.8,0.8,0.07,+0.2,+0.2,Matches,82464ce3
5,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30-036,1993,15.2,0,6,0,0.0,0.39,0.00,0.00,,22.8,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,31626657
6,Oliver Abildgaard,dk DEN,MFDF,Hellas Verona,it Serie A,26-272,1996,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8f5cdf66
7,Matthis Abline,fr FRA,FW,Auxerre,fr Ligue 1,19-346,2003,5.7,2,13,4,30.8,2.28,0.70,0.08,0.25,23.1,0,1,2,2.7,1.1,0.08,-0.7,-0.1,Matches,0e46fa2f
8,Matthis Abline,fr FRA,FWMF,Rennes,fr Ligue 1,19-346,2003,1.2,1,6,2,33.3,5.05,1.68,0.17,0.50,12.2,0,0,0,0.8,0.8,0.13,+0.2,+0.2,Matches,0e46fa2f
9,Abner,br BRA,DF,Betis,es La Liga,22-286,2000,4.1,0,3,1,33.3,0.74,0.25,0.00,0.00,9.6,0,0,0,1.0,1.0,0.34,-1.0,-1.0,Matches,7f9c5d2d
10,Zakaria Aboukhlal,ma MAR,FWMF,Toulouse,fr Ligue 1,23-019,2000,20.3,6,57,19,33.3,2.80,0.93,0.11,0.32,17.8,0,0,0,7.0,7.0,0.12,-1.0,-1.0,Matches,c2a6033c
11,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25-158,1997,18.3,6,48,23,47.9,2.63,1.26,0.13,0.26,11.5,0,0,0,9.4,9.4,0.20,-3.4,-3.4,Matches,f586779e
12,Christian Acella,it ITA,MF,Cremonese,it Serie A,20-245,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,771a2cfe
13,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35-027,1988,15.8,0,9,2,22.2,0.57,0.13,0.00,0.00,17.9,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,b96b595c
14,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19-226,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,be6faae0
15,Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,21-052,2002,0.4,0,1,0,0.0,2.50,0.00,0.00,,26.1,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches,1e93fc5d
16,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,31-132,1991,13.4,2,17,4,23.5,1.26,0.30,0.12,0.50,26.5,1,0,0,0.9,0.9,0.05,+1.1,+1.1,Matches,81442ecb
17,Che Adams,sct SCO,FW,Southampton,eng Premier League,26-239,1996,18.2,4,36,13,36.1,1.98,0.71,0.11,0.31,14.5,0,0,0,4.6,4.6,0.13,-0.6,-0.6,Matches,f2bf1b0f
18,Tyler Adams,us USA,MF,Leeds United,eng Premier League,24-023,1999,23.0,0,3,0,0.0,0.13,0.00,0.00,,28.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,2b09d998
19,Sargis Adamyan,am ARM,FWMF,Köln,de Bundesliga,29-290,1993,6.3,1,20,10,50.0,3.20,1.60,0.05,0.10,14.0,0,0,0,3.3,3.3,0.17,-2.3,-2.3,Matches,22919e97
20,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,25-166,1997,12.2,1,4,2,50.0,0.33,0.16,0.25,0.50,16.4,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches,c81d773d
