Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,eng Premier League,22-137,2000,24,21,1785,19.8,1,2,3,1,0,0,2,0,2.7,2.7,3.2,5.9,30,66,110,0.05,0.10,0.15,0.05,0.15,0.14,0.16,0.30,0.14,0.30,Matches,5bc43860
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35-161,1987,26,26,2340,26.0,1,1,2,1,0,0,3,0,1.8,1.8,0.3,2.1,19,125,5,0.04,0.04,0.08,0.04,0.08,0.07,0.01,0.08,0.07,0.08,Matches,32c2d95f
3,Himad Abdelli,fr FRA,MFFW,Angers,fr Ligue 1,23-111,1999,18,12,1106,12.3,0,0,0,0,0,0,1,0,0.9,0.9,1.3,2.2,28,71,68,0.00,0.00,0.00,0.00,0.00,0.07,0.11,0.18,0.07,0.18,Matches,7978cbf0
4,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22-347,2000,24,24,2156,24.0,1,0,1,1,0,0,4,0,0.8,0.8,1.0,1.9,29,137,35,0.04,0.00,0.04,0.04,0.04,0.03,0.04,0.08,0.03,0.08,Matches,82464ce3
5,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30-035,1993,18,17,1371,15.2,0,1,1,0,0,0,3,0,0.3,0.3,1.0,1.3,9,83,11,0.00,0.07,0.07,0.00,0.07,0.02,0.06,0.08,0.02,0.08,Matches,31626657
6,Oliver Abildgaard,dk DEN,MFDF,Hellas Verona,it Serie A,26-271,1996,4,0,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches,8f5cdf66
7,Matthis Abline,fr FRA,FW,Auxerre,fr Ligue 1,19-345,2003,9,6,514,5.7,2,1,3,1,1,2,0,0,2.7,1.1,0.5,1.6,9,8,27,0.35,0.18,0.53,0.18,0.35,0.46,0.08,0.55,0.19,0.27,Matches,0e46fa2f
8,Matthis Abline,fr FRA,FWMF,Rennes,fr Ligue 1,19-345,2003,11,0,107,1.2,1,0,1,1,0,0,0,0,0.8,0.8,0.3,1.0,4,2,11,0.84,0.00,0.84,0.84,0.84,0.65,0.22,0.87,0.65,0.87,Matches,0e46fa2f
9,Abner,br BRA,DF,Betis,es La Liga,22-285,2000,7,5,366,4.1,0,0,0,0,0,0,2,0,1.0,1.0,0.2,1.2,4,11,16,0.00,0.00,0.00,0.00,0.00,0.25,0.05,0.30,0.25,0.30,Matches,7f9c5d2d
10,Zakaria Aboukhlal,ma MAR,FWMF,Toulouse,fr Ligue 1,23-018,2000,26,21,1831,20.3,6,5,11,6,0,0,3,0,7.0,7.0,2.4,9.3,67,45,192,0.29,0.25,0.54,0.29,0.54,0.34,0.12,0.46,0.34,0.46,Matches,c2a6033c
11,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25-157,1997,25,19,1643,18.3,6,3,9,6,0,0,1,0,9.4,9.4,2.9,12.3,25,40,95,0.33,0.16,0.49,0.33,0.49,0.51,0.16,0.67,0.51,0.67,Matches,f586779e
12,Christian Acella,it ITA,MF,Cremonese,it Serie A,20-244,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,771a2cfe
13,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35-026,1988,18,15,1425,15.8,0,1,1,0,0,0,3,0,0.4,0.4,0.6,1.1,17,64,9,0.00,0.06,0.06,0.00,0.06,0.03,0.04,0.07,0.03,0.07,Matches,b96b595c
14,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19-225,2003,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,be6faae0
15,Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,21-051,2002,2,0,36,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,2,3,1,0.00,0.00,0.00,0.00,0.00,0.30,0.08,0.39,0.30,0.39,Matches,1e93fc5d
16,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,31-131,1991,19,14,1210,13.4,2,1,3,2,0,0,7,1,0.9,0.9,2.3,3.2,28,75,63,0.15,0.07,0.22,0.15,0.22,0.07,0.17,0.24,0.07,0.24,Matches,81442ecb
17,Che Adams,sct SCO,FW,Southampton,eng Premier League,26-238,1996,22,19,1639,18.2,4,3,7,4,0,0,1,0,4.6,4.6,2.7,7.3,12,25,84,0.22,0.16,0.38,0.22,0.38,0.26,0.15,0.40,0.26,0.40,Matches,f2bf1b0f
18,Tyler Adams,us USA,MF,Leeds United,eng Premier League,24-022,1999,23,23,2066,23.0,0,0,0,0,0,0,6,1,0.1,0.1,1.3,1.4,17,128,20,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches,2b09d998
19,Sargis Adamyan,am ARM,FWMF,Köln,de Bundesliga,29-289,1993,20,3,563,6.3,1,2,3,1,0,0,3,0,3.3,3.3,0.7,4.0,10,20,49,0.16,0.32,0.48,0.16,0.48,0.53,0.12,0.64,0.53,0.64,Matches,22919e97
20,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,25-165,1997,14,12,1095,12.2,1,0,1,1,0,0,2,0,0.2,0.2,0.0,0.2,6,36,1,0.08,0.00,0.08,0.08,0.08,0.01,0.00,0.01,0.01,0.01,Matches,c81d773d
21,Martin Adeline,fr FRA,MFFW,Reims,fr Ligue 1,19-096,2003,5,0,107,1.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,1,3,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,7587446d
22,Karim Adeyemi,de GER,FWMF,Dortmund,de Bundesliga,21-049,2002,16,12,799,8.9,3,2,5,3,0,0,5,0,2.5,2.5,2.0,4.5,21,27,79,0.34,0.23,0.56,0.34,0.56,0.28,0.23,0.51,0.28,0.51,Matches,501055d8
23,Amine Adli,fr FRA,FW,Leverkusen,de Bundesliga,22-302,2000,15,7,753,8.4,2,2,4,2,0,0,1,1,2.0,2.0,1.2,3.2,24,28,74,0.24,0.24,0.48,0.24,0.48,0.24,0.14,0.39,0.24,0.39,Matches,dcfb17f4
24,Yacine Adli,fr FRA,MFFW,Milan,it Serie A,22-222,2000,5,1,124,1.4,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,5,9,7,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.13,0.06,0.13,Matches,26777636
25,Michel Aebischer,ch SUI,FWMF,Bologna,it Serie A,26-061,1997,21,9,868,9.6,1,0,1,1,0,0,3,0,1.1,1.1,0.4,1.5,8,26,47,0.10,0.00,0.10,0.10,0.10,0.12,0.04,0.16,0.12,0.16,Matches,f9c927de
26,Felix Afena-Gyan,gh GHA,FWMF,Cremonese,it Serie A,20-048,2003,16,5,604,6.7,0,0,0,0,0,0,2,0,1.3,1.3,0.2,1.5,18,6,46,0.00,0.00,0.00,0.00,0.00,0.20,0.02,0.22,0.20,0.22,Matches,0154d290
27,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25-264,1997,20,19,1689,18.8,0,2,2,0,0,0,2,2,1.4,1.4,1.3,2.6,11,60,5,0.00,0.11,0.11,0.00,0.11,0.07,0.07,0.14,0.07,0.14,Matches,75f1ed80
28,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,22-072,2000,3,2,225,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a2c1a8d3
29,Lucien Agoume,fr FRA,MF,Troyes,fr Ligue 1,21-027,2002,8,7,556,6.2,0,0,0,0,0,0,4,0,0.3,0.3,0.7,1.0,6,44,2,0.00,0.00,0.00,0.00,0.00,0.04,0.11,0.16,0.04,0.16,Matches,8bc8829a
30,Felix Agu,de GER,DFFW,Werder Bremen,de Bundesliga,23-162,1999,3,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,2,0.00,0.00,0.00,0.00,0.00,0.07,0.14,0.22,0.07,0.22,Matches,cb6d81b3
31,Álvaro Aguado,es ESP,MF,Valladolid,es La Liga,26-311,1996,22,12,1209,13.4,1,2,3,1,0,0,3,0,0.6,0.6,1.5,2.1,19,90,25,0.07,0.15,0.22,0.07,0.22,0.05,0.11,0.16,0.05,0.16,Matches,014aa7bd
32,Kevin Agudelo,co COL,MFFW,Spezia,it Serie A,24-114,1998,24,19,1648,18.3,0,1,1,0,0,0,3,0,1.1,1.1,1.9,3.0,58,84,77,0.00,0.05,0.05,0.00,0.05,0.06,0.11,0.17,0.06,0.17,Matches,46fa7204
33,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,26-343,1996,9,8,785,8.7,0,0,0,0,0,0,3,0,0.8,0.8,0.1,0.9,1,15,4,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.10,0.09,0.10,Matches,288e1e13
34,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,29-316,1993,14,8,690,7.7,0,0,0,0,0,0,2,0,0.2,0.2,0.6,0.8,13,56,35,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.11,0.03,0.11,Matches,3dd738a1
35,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,eng Premier League,20-344,2002,4,0,43,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,1,8,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.22,0.22,Matches,a6c58494
36,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,20-344,2002,17,17,1398,15.5,2,2,4,2,0,0,4,1,0.8,0.8,1.2,2.1,43,56,54,0.13,0.13,0.26,0.13,0.26,0.05,0.08,0.13,0.05,0.13,Matches,a6c58494
37,Amar Ahmed,se SWE,FW,Troyes,fr Ligue 1,19-017,2004,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,22396615
38,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,28-353,1994,20,11,902,10.0,1,0,1,1,0,0,3,1,0.6,0.6,0.9,1.5,15,26,30,0.10,0.00,0.10,0.10,0.10,0.06,0.09,0.15,0.06,0.15,Matches,48b28bfd
39,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,27-160,1995,24,24,2143,23.8,2,0,2,2,0,0,4,0,0.8,0.8,0.0,0.9,10,69,2,0.08,0.00,0.08,0.08,0.08,0.04,0.00,0.04,0.04,0.04,Matches,18abe173
40,Ola Aina,ng NGA,DF,Torino,it Serie A,26-151,1996,14,9,760,8.4,1,1,2,1,0,0,5,0,0.7,0.7,1.7,2.4,32,39,39,0.12,0.12,0.24,0.12,0.24,0.09,0.20,0.29,0.09,0.29,Matches,246d153b
41,Rayan Aït Nouri,fr FRA,DF,Wolves,eng Premier League,21-275,2001,19,9,1009,11.2,1,0,1,1,0,0,4,0,0.7,0.7,1.0,1.7,30,42,73,0.09,0.00,0.09,0.09,0.09,0.06,0.09,0.15,0.06,0.15,Matches,9b398aea
42,Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,22-073,2000,17,13,1209,13.4,0,0,0,0,0,0,3,0,0.2,0.2,0.4,0.6,17,40,7,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.05,0.01,0.05,Matches,d810c13b
43,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,24-325,1998,9,9,763,8.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,10,31,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Matches,a8c0acb7
44,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,29-011,1994,13,9,771,8.6,1,0,1,0,1,1,1,0,3.4,2.6,0.9,3.5,2,13,55,0.12,0.00,0.12,0.00,0.00,0.39,0.10,0.50,0.30,0.40,Matches,462475ed
45,Ludovic Ajorque,fr FRA,FW,Mainz 05,de Bundesliga,29-011,1994,7,6,467,5.2,1,1,2,1,0,0,1,0,1.5,1.5,1.0,2.5,3,14,41,0.19,0.19,0.39,0.19,0.39,0.30,0.18,0.48,0.30,0.48,Matches,462475ed
46,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,27-232,1995,19,16,1541,17.1,0,1,1,0,0,0,2,0,1.0,1.0,0.2,1.2,19,78,8,0.00,0.06,0.06,0.00,0.06,0.06,0.01,0.07,0.06,0.07,Matches,89ac64a6
47,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,28-018,1995,20,16,1423,15.8,0,0,0,0,0,0,1,0,1.0,1.0,0.3,1.4,19,110,20,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.09,0.06,0.09,Matches,eaeca114
48,Sergio Akieme,es ESP,DF,Almería,es La Liga,25-082,1997,24,24,2104,23.4,0,0,0,0,0,0,4,0,1.4,1.4,2.0,3.3,59,56,81,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.14,0.06,0.14,Matches,06efa9dc
49,Maghnes Akliouche,fr FRA,MFDF,Monaco,fr Ligue 1,21-011,2002,6,3,248,2.8,0,0,0,0,0,0,3,0,0.2,0.2,0.3,0.5,5,11,21,0.00,0.00,0.00,0.00,0.00,0.06,0.10,0.17,0.06,0.17,Matches,b625b241
50,Paul Akouokou,ci CIV,MF,Betis,es La Liga,25-078,1997,6,2,238,2.6,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,6,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,31f5b89b
51,Jean-Daniel Akpa-Akpro,ci CIV,MF,Empoli,it Serie A,30-148,1992,14,9,764,8.5,0,0,0,0,0,0,8,2,0.3,0.3,0.5,0.9,13,23,26,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.10,0.04,0.10,Matches,fdf4b948
52,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,27-323,1995,19,12,1201,13.3,0,0,0,0,0,0,7,0,0.6,0.6,0.4,1.0,13,61,23,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.08,0.04,0.08,Matches,6ec6fde0
53,David Alaba,at AUT,DF,Real Madrid,es La Liga,30-257,1992,19,17,1545,17.2,1,3,4,1,0,0,3,0,0.7,0.7,1.1,1.7,14,60,58,0.06,0.17,0.23,0.06,0.23,0.04,0.06,0.10,0.04,0.10,Matches,05439de2
54,Ángel Alarcón,es ESP,MFFW,Barcelona,es La Liga,18-297,2004,3,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.17,0.17,Matches,455c26a4
55,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,24-048,1999,4,2,223,2.5,0,0,0,0,0,0,2,1,0.0,0.0,0.1,0.1,2,9,6,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches,99ea2ddd
56,Lucas Alario,ar ARG,FW,Eint Frankfurt,de Bundesliga,30-151,1992,15,2,266,3.0,1,0,1,1,0,0,0,0,1.3,1.3,0.0,1.3,2,5,12,0.34,0.00,0.34,0.34,0.34,0.43,0.01,0.45,0.43,0.45,Matches,834d0be5
57,Jordi Alba,es ESP,DF,Barcelona,es La Liga,33-352,1989,16,10,999,11.1,1,3,4,1,0,0,4,1,0.6,0.6,5.2,5.8,31,114,106,0.09,0.27,0.36,0.09,0.36,0.05,0.47,0.52,0.05,0.52,Matches,4601e194
58,Luis Alberto,es ESP,MF,Lazio,it Serie A,30-161,1992,22,14,1320,14.7,5,3,8,4,1,2,1,0,3.1,1.4,3.0,4.4,44,130,58,0.34,0.20,0.55,0.27,0.48,0.21,0.20,0.41,0.09,0.30,Matches,5294a83f
